"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description","Mouser Part Number"
"C1","100pF","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","K101J15C0GF5TH5","Capacitor",""
"C2,C6","4.7nF","https://datasheets.kyocera-avx.com/AR-Series.pdf","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","2",""," AR151C472K4R ","Capacitor",""
"C3,C4,C5,C12,C13,C14","0.1uF","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf?ref_disty=mouser","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","6","","FA18X7R1H104KNU06 ","Capacitor",""
"C7,C15","1uF","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf?ref_disty=mouser","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","2","","FA24X7R1H105KRU06","Capacitor",""
"C9","0.01uF","https://www.vishay.com/doc?45171","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","1","","K103K10X7RF53L2","Capacitor",""
"C10","100uF","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","1","","EEU-FR1H101","Capacitor",""
"C11","120uF","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""," EEU-FR1H121L ","Capacitor",""
"D1","3.3v","https://www.vishay.com/doc?85614","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","TZX3V3B-TR","Zener diode",""
"D3","SA26CA","https://www.littelfuse.com/assetdocs/tvs-diodes-sa-datasheet?assetguid=93214550-6AFF-4192-8ECD-8094A6F7CC98","Diode_THT:D_DO-15_P10.16mm_Horizontal","1",""," SA26A ","TVS Diode"," 576-SA26CA "
"D4,D5","D_TVS","https://www.littelfuse.com/assetdocs/tvs-diodes-sa-datasheet?assetguid=93214550-6AFF-4192-8ECD-8094A6F7CC98","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","2","","SA6.0CA","TVS Diode",""
"D13","550mV","https://www.onsemi.com/pdf/datasheet/mbr150-d.pdf","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","1","","MBR160RLG","Schottky diode",""
"H1,H2","MountingHole","~","MountingHole:MountingHole_3mm","2","","","Mounting Hole without connection",""
"IC1","SN74LV125AN","http://www.ti.com/lit/gpn/SN74LV125A","Buffer:DIP794W53P254L1930H508Q14N","1","","SN74LV125AN","Level shifter","595-SN74LV125AN"
"J3","DTM13-12PA-R008","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DTM13-12PX-R008&DocType=Customer%20Drawing&DocLang=English&DocFormat=pdf&PartCntxt=DTM13-12PA-R008","DTM13:TE_DTM13-12PA-R008","1","","","Associated case: https://www.te.com/en/product-EEC-325X4A.html?compatible=DTM13-12PA-R008",""
"JP1,JP2,JP3,JP4","Jumper_2_Small_Open","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","4","","","Jumper, 2-pole, small symbol, open",""
